	記号,一般,*,*,*,*,*
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
２	名詞,数,*,*,*,*,２,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
前項	名詞,一般,*,*,*,*,前項,ゼンコウ,ゼンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
申出	動詞,自立,*,*,一段,連用形,申出る,モウシデ,モーシデ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
係る	動詞,自立,*,*,五段・ラ行,基本形,係る,カカル,カカル
苦情	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解決	名詞,一般,*,*,*,*,*,*,*,wikipedia
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あると	名詞,一般,*,*,*,*,*,*,*,wikipedia
認める	動詞,自立,*,*,一段,基本形,認める,ミトメル,ミトメル
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
対象	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
に対し	助詞,格助詞,連語,*,*,*,に対し,ニタイシ,ニタイシ
、	記号,読点,*,*,*,*,、,、,、
文書	名詞,一般,*,*,*,*,*,*,*,wikipedia
若しくは	接続詞,*,*,*,*,*,若しくは,モシクハ,モシクワ
口頭	名詞,一般,*,*,*,*,口頭,コウトウ,コートー
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
説明	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
求め	動詞,自立,*,*,一段,連用形,求める,モトメ,モトメ
、	記号,読点,*,*,*,*,、,、,、
又は	名詞,一般,*,*,*,*,*,*,*,wikipedia
資料	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
提出	名詞,サ変接続,*,*,*,*,提出,テイシュツ,テイシュツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
求める	動詞,自立,*,*,一段,基本形,求める,モトメル,モトメル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
３	名詞,数,*,*,*,*,３,サン,サン
　	記号,空白,*,*,*,*,　,　,　
対象	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
前項	名詞,一般,*,*,*,*,前項,ゼンコウ,ゼンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
求め	名詞,一般,*,*,*,*,求め,モトメ,モトメ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
正当	名詞,形容動詞語幹,*,*,*,*,正当,セイトウ,セイトー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
理由	名詞,一般,*,*,*,*,*,*,*,wikipedia
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
、	記号,読点,*,*,*,*,、,、,、
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
拒ん	動詞,自立,*,*,五段・マ行,連用タ接続,拒む,コバン,コバン
で	助詞,接続助詞,*,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
指針	名詞,一般,*,*,*,*,*,*,*,wikipedia
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
四十	名詞,一般,*,*,*,*,*,*,*,wikipedia
三条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
対象	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
個人情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
適正	名詞,一般,*,*,*,*,*,*,*,wikipedia
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
取扱い	名詞,一般,*,*,*,*,取扱い,トリアツカイ,トリアツカイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
確保	名詞,サ変接続,*,*,*,*,確保,カクホ,カクホ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
、	記号,読点,*,*,*,*,、,、,、
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
目的	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
特定	名詞,サ変接続,*,*,*,*,特定,トクテイ,トクテイ
、	記号,読点,*,*,*,*,、,、,、
安全管理	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
措置	名詞,サ変接続,*,*,*,*,措置,ソチ,ソチ
、	記号,読点,*,*,*,*,、,、,、
本人	名詞,一般,*,*,*,*,本人,ホンニン,ホンニン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
求め	名詞,一般,*,*,*,*,求め,モトメ,モトメ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
応じる	動詞,自立,*,*,一段,基本形,応じる,オウジル,オージル
手続	名詞,サ変接続,*,*,*,*,手続,テツヅキ,テツズキ
その他	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
事項	名詞,一般,*,*,*,*,事項,ジコウ,ジコー
に関し	助詞,格助詞,連語,*,*,*,に関し,ニカンシ,ニカンシ
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
法律	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
趣旨	名詞,一般,*,*,*,*,趣旨,シュシ,シュシ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
沿っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,沿う,ソッ,ソッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
指針	名詞,一般,*,*,*,*,*,*,*,wikipedia
（	記号,括弧開,*,*,*,*,（,（,（
以下	名詞,一般,*,*,*,*,*,*,*,wikipedia
「	記号,括弧開,*,*,*,*,「,「,「
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
指針	名詞,一般,*,*,*,*,*,*,*,wikipedia
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作成	名詞,サ変接続,*,*,*,*,作成,サクセイ,サクセイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
公表	名詞,サ変接続,*,*,*,*,公表,コウヒョウ,コーヒョー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
努め	動詞,自立,*,*,一段,未然形,努める,ツトメ,ツトメ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
２	名詞,数,*,*,*,*,２,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
前項	名詞,一般,*,*,*,*,前項,ゼンコウ,ゼンコー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
指針	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
公表	名詞,サ変接続,*,*,*,*,公表,コウヒョウ,コーヒョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
対象	名詞,一般,*,*,*,*,*,*,*,wikipedia
事業者	名詞,一般,*,*,*,*,*,*,*,wikipedia
に対し	助詞,格助詞,連語,*,*,*,に対し,ニタイシ,ニタイシ
、	記号,読点,*,*,*,*,、,、,、
当該	名詞,一般,*,*,*,*,当該,トウガイ,トーガイ
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
指針	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
遵守	名詞,サ変接続,*,*,*,*,遵守,ジュンシュ,ジュンシュ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せる	動詞,接尾,*,*,一段,基本形,せる,セル,セル
ため	名詞,非自立,副詞可能,*,*,*,ため,タメ,タメ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
指導	名詞,一般,*,*,*,*,*,*,*,wikipedia
、	記号,読点,*,*,*,*,、,、,、
勧告	名詞,一般,*,*,*,*,*,*,*,wikipedia
その他	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
措置	名詞,サ変接続,*,*,*,*,措置,ソチ,ソチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
とる	動詞,自立,*,*,五段・ラ行,基本形,とる,トル,トル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
努め	動詞,自立,*,*,一段,未然形,努める,ツトメ,ツトメ
なけれ	助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
目的	名詞,一般,*,*,*,*,*,*,*,wikipedia
外	名詞,接尾,一般,*,*,*,外,ガイ,ガイ
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
禁止	名詞,一般,*,*,*,*,*,*,*,wikipedia
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
四十	名詞,一般,*,*,*,*,*,*,*,wikipedia
四条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
業務	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
に際して	助詞,格助詞,連語,*,*,*,に際して,ニサイシテ,ニサイシテ
知り	動詞,自立,*,*,五段・ラ行,連用形,知る,シリ,シリ
得	動詞,非自立,*,*,一段,連用形,得る,エ,エ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
情報	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
業務	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
用	名詞,一般,*,*,*,*,用,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
供する	動詞,自立,*,*,サ変・－スル,基本形,供する,キョウスル,キョースル
目的	名詞,一般,*,*,*,*,*,*,*,wikipedia
以外	名詞,一般,*,*,*,*,*,*,*,wikipedia
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
利用	名詞,一般,*,*,*,*,*,*,*,wikipedia
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
名称	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
使用	名詞,一般,*,*,*,*,*,*,*,wikipedia
制限	名詞,一般,*,*,*,*,*,*,*,wikipedia
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
四十	名詞,一般,*,*,*,*,*,*,*,wikipedia
五条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
者	名詞,非自立,一般,*,*,*,者,モノ,モノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
名称	名詞,一般,*,*,*,*,*,*,*,wikipedia
又は	名詞,一般,*,*,*,*,*,*,*,wikipedia
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
紛らわしい	形容詞,自立,*,*,形容詞・イ段,基本形,紛らわしい,マギラワシイ,マギラワシイ
名称	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
用い	動詞,自立,*,*,一段,連用形,用いる,モチイ,モチイ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なら	動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
報告	名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
徴収	名詞,サ変接続,*,*,*,*,徴収,チョウシュウ,チョーシュー
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
四十	名詞,一般,*,*,*,*,*,*,*,wikipedia
六条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
主務	名詞,一般,*,*,*,*,主務,シュム,シュム
大臣	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
節	名詞,一般,*,*,*,*,節,フシ,フシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
施行	名詞,一般,*,*,*,*,*,*,*,wikipedia
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
限度	名詞,一般,*,*,*,*,*,*,*,wikipedia
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
に対し	助詞,格助詞,連語,*,*,*,に対し,ニタイシ,ニタイシ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
業務	名詞,一般,*,*,*,*,*,*,*,wikipedia
に関し	助詞,格助詞,連語,*,*,*,に関し,ニカンシ,ニカンシ
報告	名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
せる	動詞,接尾,*,*,一段,基本形,せる,セル,セル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
命令	名詞,一般,*,*,*,*,*,*,*,wikipedia
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
四十	名詞,一般,*,*,*,*,*,*,*,wikipedia
七条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
主務	名詞,一般,*,*,*,*,主務,シュム,シュム
大臣	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
この	連体詞,*,*,*,*,*,この,コノ,コノ
節	名詞,一般,*,*,*,*,節,フシ,フシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
規定	名詞,サ変接続,*,*,*,*,規定,キテイ,キテイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
施行	名詞,一般,*,*,*,*,*,*,*,wikipedia
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
限度	名詞,一般,*,*,*,*,*,*,*,wikipedia
において	助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
に対し	助詞,格助詞,連語,*,*,*,に対し,ニタイシ,ニタイシ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
業務	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
実施	名詞,サ変接続,*,*,*,*,実施,ジッシ,ジッシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方法	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
改善	名詞,一般,*,*,*,*,*,*,*,wikipedia
、	記号,読点,*,*,*,*,、,、,、
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
指針	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
変更	名詞,サ変接続,*,*,*,*,変更,ヘンコウ,ヘンコー
その他	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
措置	名詞,サ変接続,*,*,*,*,措置,ソチ,ソチ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
とる	動詞,自立,*,*,五段・ラ行,基本形,とる,トル,トル
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
旨	名詞,一般,*,*,*,*,旨,ムネ,ムネ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
命ずる	動詞,自立,*,*,サ変・－ズル,基本形,命ずる,メイズル,メイズル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
の	助詞,連体化,*,*,*,*,の,ノ,ノ
取消し	名詞,一般,*,*,*,*,*,*,*,wikipedia
）	記号,括弧閉,*,*,*,*,）,）,）
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
四十	名詞,一般,*,*,*,*,*,*,*,wikipedia
八条	名詞,一般,*,*,*,*,*,*,*,wikipedia
　	記号,空白,*,*,*,*,　,　,　
主務	名詞,一般,*,*,*,*,主務,シュム,シュム
大臣	名詞,一般,*,*,*,*,*,*,*,wikipedia
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
個人情報保護	名詞,一般,*,*,*,*,*,*,*,wikipedia
団体	名詞,一般,*,*,*,*,*,*,*,wikipedia
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
次	名詞,一般,*,*,*,*,次,ツギ,ツギ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
号	名詞,接尾,一般,*,*,*,号,ゴウ,ゴー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
いずれ	名詞,代名詞,一般,*,*,*,いずれ,イズレ,イズレ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
該当	名詞,サ変接続,*,*,*,*,該当,ガイトウ,ガイトー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
認定	名詞,一般,*,*,*,*,*,*,*,wikipedia
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
取り消す	動詞,自立,*,*,五段・サ行,基本形,取り消す,トリケス,トリケス
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル
。	記号,句点,*,*,*,*,。,。,。
一	名詞,数,*,*,*,*,一,イチ,イチ
　	記号,空白,*,*,*,*,　,　,　
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
三十	名詞,一般,*,*,*,*,*,*,*,wikipedia
八条	名詞,一般,*,*,*,*,*,*,*,wikipedia
第一	名詞,一般,*,*,*,*,*,*,*,wikipedia
号	名詞,接尾,一般,*,*,*,号,ゴウ,ゴー
又は	名詞,一般,*,*,*,*,*,*,*,wikipedia
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
三	名詞,数,*,*,*,*,三,サン,サン
号	名詞,接尾,一般,*,*,*,号,ゴウ,ゴー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
該当	名詞,サ変接続,*,*,*,*,該当,ガイトウ,ガイトー
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
至っ	動詞,自立,*,*,五段・ラ行,連用タ接続,至る,イタッ,イタッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
。	記号,句点,*,*,*,*,。,。,。
二	名詞,数,*,*,*,*,二,ニ,ニ
　	記号,空白,*,*,*,*,　,　,　
第	接頭詞,数接続,*,*,*,*,第,ダイ,ダイ
三十	名詞,一般,*,*,*,*,*,*,*,wikipedia
九条	名詞,一般,*,*,*,*,*,*,*,wikipedia
各	接頭詞,名詞接続,*,*,*,*,各,カク,カク
